"Cluster","Mode(Gender)","Mean(Age)","Mean(Height)","Mean(Weight)","Mode(family_history_with_overweight)","Mode(FAVC)","Mean(FCVC)","Mean(NCP)","Mode(CAEC)","Mode(SMOKE)","Mean(CH2O)","Mode(SCC)","Mean(FAF)","Mean(TUE)","Mode(CALC)","Mode(MTRANS)","Mode(NObeyesdad)"
"cluster_0","Female",23.32934760504202,1.6389035882352938,71.30446780672267,"yes","no",2.351499806722689,2.586670235294118,"Sometimes","no",2.0456773445378142,"no",1.2545575126050421,0.6055051428571425,"no","Public_Transportation","Overweight_Level_II"
"cluster_1","Female",21.933172882352938,1.6898475126050414,60.299076621848755,"yes","yes",2.435499655462186,2.905615882352941,"Frequently","no",1.887509336134454,"no",1.1035294957983186,0.8373835378151262,"no","Public_Transportation","Normal_Weight"
"cluster_10","Male",27.10907391071428,1.6617199999999996,101.58618721428569,"yes","yes",2.805417464285715,1.9140362142857144,"Sometimes","no",1.187223714285714,"no",1.0178760892857148,0.7186557321428569,"no","Public_Transportation","Obesity_Type_II"
"cluster_11","Male",23.159344995444183,1.7776889111617316,95.84041723462411,"yes","yes",2.235901038724372,2.7108355626423686,"Sometimes","no",2.1460552938496607,"no",1.0483453986332576,0.626895813211845,"Sometimes","Public_Transportation","Obesity_Type_II"
"cluster_2","Male",21.83064516129032,1.6979032258064517,64.77016129032256,"no","yes",2.338709677419355,2.9112903225806455,"Sometimes","no",1.838709677419355,"no",1.3387096774193559,0.6612903225806452,"no","Public_Transportation","Normal_Weight"
"cluster_3","Male",31.24566681456953,1.7323937748344376,78.94691928476824,"yes","yes",2.3932191986754967,2.8896895894039716,"Sometimes","no",1.9199450860927139,"no",1.2247638079470216,0.5130139470198678,"no","Automobile","Overweight_Level_II"
"cluster_4","Female",19.43942988709678,1.6333532419354844,47.9412789032258,"no","yes",2.292985661290322,2.5606074758064525,"Sometimes","no",1.5867845967741936,"no",1.0045948709677428,0.8649847661290319,"Sometimes","Public_Transportation","Insufficient_Weight"
"cluster_5","Female",21.00962340425532,1.609420063829787,48.86066070212767,"no","no",2.774611,2.6571170425531916,"Frequently","no",1.8050263191489357,"no",1.2215044468085108,0.27574363829787246,"Sometimes","Public_Transportation","Insufficient_Weight"
"cluster_6","Female",23.121571553398056,1.6809124781553404,111.09652337135927,"yes","yes",2.818403247572816,2.8574286747572817,"Sometimes","no",2.175262048543691,"no",0.7108623762135917,0.6489755582524276,"Sometimes","Public_Transportation","Obesity_Type_III"
"cluster_7","Female",21.24784498076924,1.5841989230769233,62.22909476923077,"no","yes",2.500057057692308,2.2031307307692307,"Sometimes","no",1.755578,"yes",0.7147853653846152,0.930451596153846,"Sometimes","Public_Transportation","Overweight_Level_I"
"cluster_8","Male",21.082256752380957,1.6907327952380953,86.20056126666667,"yes","yes",2.12031888095238,2.3932135809523793,"Sometimes","no",2.175232104761904,"no",1.1972316714285716,0.9178884047619049,"no","Public_Transportation","Obesity_Type_I"
"cluster_9","Male",32.44694281007753,1.7146495465116285,93.24079223255816,"yes","yes",2.308984205426358,2.65269265503876,"Sometimes","no",2.0095118604651163,"no",0.854724007751938,0.439527453488372,"Sometimes","Automobile","Obesity_Type_I"
